id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,label
66,54.2696,46.4477,16.6365,0.965,0.7433,9,82.8169,724.3388,21.4607,0.1356,0
67,14.0924,42.7195,43.6428,0.1243,0.1709,8,124.0149,578.3869,21.0914,0.368,0
68,80.2197,51.2281,1.6301,0.7309,-0.184,2,105.3782,274.1607,29.398,0.255,0
69,7.4551,84.7199,9.0172,0.9383,0.0184,6,115.9858,79.4194,28.0357,0.0534,0
70,98.6887,21.991,4.7947,0.1812,0.3476,9,62.3858,85.6582,31.5558,0.1127,0
71,77.2245,60.2939,35.0371,0.0665,-0.5398,9,141.3041,894.1909,18.7371,0.1566,0
72,19.8716,25.8093,18.4591,0.7411,-0.7783,10,123.3105,191.8673,22.4877,0.3248,0
73,0.5522,42.921,18.2219,0.5745,0.1958,4,112.0488,323.3716,26.4059,0.3058,0
74,81.5461,66.3343,6.3242,0.8418,-0.9784,6,79.4317,226.6564,20.3719,0.4742,0
75,70.6857,50.9642,5.3583,0.1398,0.4083,1,109.714,354.9963,28.2084,0.125,0
76,72.9007,33.8338,3.1939,0.7953,-1.7026,3,91.2553,69.4238,31.1231,0.1719,0
77,77.127,39.2704,0.5803,0.2016,1.0292,1,50.4853,519.0598,22.0832,0.1753,0
78,7.4045,60.194,20.0043,0.1637,0.4726,6,98.4873,67.6126,25.193,0.2431,0
79,35.8466,39.0445,16.7612,0.1643,0.256,1,95.2981,800.3565,32.2781,0.0148,0
80,11.5869,53.2469,81.7245,0.8146,0.9827,10,131.872,233.7121,33.9964,0.1592,0
81,86.3103,50.6836,56.9487,0.6652,1.6655,0,32.9672,540.0119,28.729,0.1593,0
82,62.3298,40.226,8.1065,0.5231,1.0144,8,107.056,880.0791,27.9671,0.0519,0
83,33.0898,82.1592,14.6528,0.3588,-1.8409,0,65.333,650.8774,20.7313,0.3729,0
84,6.3558,59.5088,28.9617,0.8772,-1.2796,7,109.5767,532.9578,26.796,0.3188,0
85,31.0982,19.6229,18.9477,0.3924,-0.6248,1,111.2284,324.3338,27.7841,0.3783,0
86,32.5183,52.7968,2.8415,0.8166,0.0261,7,97.3947,333.0019,23.9481,0.3273,0
87,72.9606,40.0732,5.9883,0.4391,0.5177,2,124.2188,669.487,22.0261,0.5088,0
88,63.7557,62.7865,1.383,0.3769,-0.7257,5,62.627,994.1394,18.5935,0.0944,0
89,88.7213,38.1122,30.8022,0.4627,0.1868,2,133.2316,661.8392,16.3114,0.5782,0
90,47.2215,48.279,9.3185,0.3014,-0.7554,6,78.7576,557.7834,15.2606,0.093,0
91,11.9594,57.5748,2.596,0.7476,-0.6115,9,53.323,730.6505,27.8972,0.411,0
92,71.3245,62.9863,11.1383,0.5027,-1.4067,8,91.8281,465.2056,25.7385,0.1578,0
93,76.0785,31.9956,9.6267,0.2322,-0.9232,1,37.1453,60.1423,22.5809,0.3441,0
94,56.1277,44.9825,4.4342,0.8996,-1.3517,4,107.6252,562.2968,23.3427,0.3348,0
95,77.0967,42.8758,1.2054,0.3839,-0.9759,5,92.2225,957.6253,26.0524,0.0526,0
96,49.3796,40.2001,11.1344,0.5436,1.0536,3,137.0106,175.3029,24.1772,0.1957,0
97,52.2733,76.4818,7.3461,0.9065,-0.9494,3,119.4677,690.0049,18.2972,0.2961,0
98,42.7541,56.0747,14.7981,0.6242,2.6324,3,58.2401,200.9337,29.565,0.4145,0
99,2.5419,31.0867,7.3431,0.1169,0.4933,1,74.8484,535.8277,26.5206,0.2185,0
100,10.7891,63.7679,19.1177,0.9398,0.1848,3,115.6199,96.6764,26.3295,0.4891,0
101,3.1429,81.8323,8.0275,0.6277,-0.8584,10,125.4124,450.3709,29.1878,0.0714,1
102,63.641,65.487,8.2311,0.3349,0.7003,0,136.675,756.1633,20.9318,0.1174,0
103,31.4356,27.2095,20.9276,0.1393,-0.5756,5,136.4353,347.5715,31.0687,0.6097,1
104,50.8571,42.7365,5.1665,0.794,0.122,0,97.3143,664.9117,24.2998,0.0995,0
105,90.7566,69.0037,1.4389,0.6201,2.5601,9,110.8797,795.45,29.443,0.055,0
106,24.9292,39.385,0.2921,0.5335,-0.0961,5,138.9622,927.1778,28.6722,0.2312,0
107,41.0383,56.6573,14.0706,0.8939,1.1493,0,90.9007,234.6421,19.806,0.3229,1
108,75.5551,61.6195,9.684,0.7886,-0.7032,5,111.3918,399.3159,27.5145,0.275,0
109,22.8798,36.096,12.1767,0.1517,-0.035,9,90.1936,152.416,26.6314,0.5674,0
110,7.698,49.1071,2.3948,0.3117,1.7708,7,83.4716,992.4835,25.1516,0.3182,0
111,28.9751,1.381,1.4661,0.2485,-0.627,10,101.4516,927.001,24.5281,0.0973,0
112,16.1221,34.6342,0.1465,0.7439,1.8124,1,79.3737,539.9571,24.5705,0.3555,1
113,92.9698,46.2115,4.3169,0.0335,0.7078,1,96.0725,842.0333,29.0634,0.0629,1
114,80.812,31.2833,8.914,0.5699,-0.5625,3,68.9514,520.958,27.8896,0.1476,0
115,63.3404,74.4862,4.9798,0.7625,0.6324,10,94.3002,623.5857,25.1524,0.142,0
116,87.1461,28.5479,5.7532,0.8768,0.9726,2,113.4517,89.1244,17.5403,0.2443,0
117,80.3672,43.3993,23.4506,0.3421,0.6218,3,82.3371,755.2704,27.4722,0.2442,0
118,18.657,51.9611,4.281,0.8213,-1.5702,6,100.2788,127.7135,28.6181,0.2637,0
119,89.2559,71.6191,7.2153,0.1106,-0.7271,10,104.1803,826.0676,36.5021,0.2267,0
120,53.9342,28.4621,15.3087,0.8465,-0.2475,0,113.576,782.0281,30.3772,0.2053,0
121,80.744,67.4475,5.0508,0.1275,-0.0744,5,95.9926,708.7447,15.5041,0.3408,0
122,89.6091,50.1535,9.7309,0.3973,0.6207,2,132.576,36.1604,25.3921,0.3042,0
123,31.8003,35.2774,19.8314,0.7973,0.1777,10,36.9724,303.1284,34.0569,0.5368,0
124,11.0052,56.9316,29.8619,0.1499,-1.3353,9,188.1326,263.1126,28.1177,0.5014,0
125,22.7935,52.9859,1.5908,0.2293,0.3802,6,73.866,360.1364,26.6433,0.0618,0
126,42.7108,40.9967,26.1166,0.7223,0.6106,9,112.1017,87.6427,29.5011,0.2405,0
127,81.8015,51.047,6.775,0.72,0.5598,1,71.846,936.9578,21.8881,0.2316,0
128,86.0731,44.2203,2.9874,0.6411,1.0808,1,119.328,553.8022,27.3904,0.2786,0
129,0.6952,51.7028,6.1459,0.6939,0.8339,3,108.2971,305.5243,23.7477,0.1176,0
130,51.0747,59.932,39.1365,0.5427,0.4592,0,80.4786,396.9815,24.9019,0.193,0
131,41.7411,73.7903,6.7849,0.2518,-0.0702,2,132.1926,447.2025,29.1423,0.3517,0
132,22.2108,31.4328,3.9862,0.3457,-1.661,8,95.0812,600.5943,20.3664,0.3572,0
133,11.9865,81.9955,10.0349,0.1816,0.4296,6,116.4165,515.6794,31.4399,0.1607,0
134,33.7615,20.7187,2.7463,0.9085,0.2077,6,72.4852,919.392,22.8859,0.1565,0
135,94.291,47.7232,0.789,0.5834,0.2716,10,99.0734,496.9635,26.3033,0.3577,0
136,32.3203,58.8248,1.3798,0.4009,-1.2767,3,160.1022,992.158,17.9975,0.5602,1
137,51.8791,54.2149,1.3702,0.462,-1.0811,1,128.889,851.425,28.5992,0.3634,0
138,70.3019,40.6595,1.6476,0.9473,1.0532,3,109.2286,208.5105,32.2325,0.1727,0
139,36.363,46.8782,1.4946,0.1534,-0.0396,5,86.5324,930.5952,22.4268,0.3563,0
140,97.1782,42.605,10.2408,0.5862,0.6815,10,102.025,116.3664,19.4489,0.358,0
141,96.2447,41.1595,2.0075,0.5059,0.0283,10,105.927,817.4497,26.3899,0.2044,0
142,25.1782,62.744,4.2414,0.6115,0.0298,2,113.4769,380.6233,32.2741,0.4148,1
143,49.7249,55.3552,22.7097,0.0181,0.9383,0,67.7002,877.9743,17.7507,0.4944,1
144,30.0878,39.6064,6.4238,0.8721,-0.516,7,120.0522,868.0567,19.4685,0.2303,0
145,28.484,63.494,11.0129,0.9321,0.0961,4,67.3122,805.9254,22.7291,0.4763,0
146,3.6887,54.6095,1.8913,0.5651,-0.4623,4,148.9338,790.0304,20.8983,0.6901,1
147,60.9564,62.1929,2.1355,0.6967,-0.4345,10,76.8512,304.6791,20.9141,0.4295,0
148,50.2679,59.4444,0.4173,0.9225,-0.3092,3,108.8988,80.9193,14.5294,0.0512,0
149,5.1479,37.5651,1.8505,0.7072,0.2221,5,130.1543,402.9802,27.9453,0.2475,1
150,27.8646,41.5973,3.2655,0.1525,-0.4787,2,92.4286,173.5245,26.6936,0.4634,0
151,90.8266,61.2094,1.9481,0.5763,1.2558,8,110.218,694.9511,16.5058,0.3706,0
152,23.9562,59.1556,0.9289,0.6067,-0.8946,4,143.0554,346.0997,32.286,0.2493,1
153,14.4895,49.6865,1.2856,0.4241,-0.1869,2,116.9321,975.6102,33.4055,0.2228,0
154,48.9453,51.7599,6.1763,0.7364,-0.4397,10,110.6665,640.9721,21.2455,0.19,0
155,98.565,69.165,2.3109,0.9344,1.447,0,49.4564,822.4806,30.8327,0.4666,0
156,24.2055,41.1264,4.5298,0.9256,0.1966,9,71.9883,132.5247,22.135,0.1228,0
157,67.2136,58.2065,7.0001,0.4508,1.0318,5,131.4076,862.0145,25.9056,0.0118,0
158,76.162,46.9671,11.7246,0.1132,-1.4856,1,117.0985,922.7572,20.8212,0.1381,0
159,23.7638,46.7348,0.4011,0.9848,0.2671,2,121.644,487.0619,36.0713,0.2846,1
160,72.8216,66.4817,16.0649,0.8389,0.8896,0,119.0619,606.2529,23.5199,0.5227,0
161,36.7783,62.3812,9.8859,0.1247,0.0823,8,138.6927,764.8098,25.6322,0.213,0
162,63.2306,62.2026,0.853,0.9208,1.0655,7,92.158,174.8386,21.5603,0.1097,0
163,63.353,69.5822,20.6813,0.8699,-0.5173,1,103.615,502.5661,34.3066,0.0683,0
164,53.5775,50.3151,25.3669,0.5188,1.4093,10,69.1398,398.663,34.4331,0.4116,0
165,9.029,60.2293,0.6302,0.5913,2.2989,7,61.6593,146.374,33.1546,0.1347,0
166,83.5302,45.346,3.2418,0.399,-0.3628,8,50.6878,367.5344,29.7822,0.2054,0
167,32.078,54.8625,16.4094,0.0548,-0.4455,0,73.4451,68.1723,21.8761,0.3393,0
168,18.6519,48.0479,13.7936,0.3352,1.4534,4,146.5769,25.8119,29.1393,0.1533,1
169,4.0775,51.4549,2.0398,0.8029,1.5796,7,53.4182,135.1663,24.9648,0.6397,0
170,59.0893,58.9274,2.349,0.0046,-0.5229,10,90.8939,963.1151,31.562,0.4289,0
171,67.7564,37.7267,4.6279,0.3335,-0.4202,1,61.2056,549.5295,30.5795,0.203,0
172,1.6588,81.3858,6.6266,0.3982,-0.2818,3,81.9708,965.8222,21.7537,0.4919,0
173,51.2093,34.9097,9.63,0.5374,-1.3445,6,105.0908,432.4979,29.7391,0.2397,0
174,22.6496,31.7872,4.6031,0.9199,-0.9187,2,78.9965,311.8161,28.4102,0.0461,0
175,64.5173,67.3717,6.2089,0.3463,-1.0041,4,132.6899,506.1419,11.1322,0.2179,1
176,17.4366,61.8749,13.7623,0.347,-0.7678,7,146.0193,439.5117,29.0047,0.215,0
177,69.0938,59.3618,0.3737,0.7375,-0.0347,9,32.5271,105.6647,22.841,0.3149,0
178,38.6735,59.4252,2.9094,0.4522,0.2342,2,79.5102,640.8263,20.5698,0.3938,1
179,93.673,49.8163,12.4949,0.2246,1.5505,3,101.7743,216.0382,20.7837,0.2397,1
180,13.7521,36.5412,22.5577,0.4524,-0.9984,8,133.7835,619.588,24.3238,0.178,0
181,34.1066,51.1371,7.1678,0.1409,0.9843,6,86.3727,650.2011,27.4003,0.3597,0
182,11.3474,39.8426,7.5953,0.1764,-0.214,0,99.4019,152.0249,18.1727,0.0587,0
183,92.4694,64.6268,1.1336,0.4984,-0.0495,3,65.2977,61.3496,25.9492,0.4424,0
184,87.7339,47.7941,5.9314,0.4189,0.6748,3,54.0161,780.7616,27.8838,0.4289,0
185,25.7942,37.6175,7.6061,0.9148,-1.1227,8,143.3615,459.8004,34.309,0.2986,0
186,65.9984,45.1792,2.7769,0.3624,0.3824,5,45.2779,58.1638,19.6165,0.1253,0
187,81.7222,56.194,3.1367,0.5806,0.1665,8,169.8586,994.8663,23.2519,0.1974,0
188,55.5201,41.5441,4.7366,0.6323,0.4925,5,121.7545,57.7806,26.3083,0.4799,0
189,52.9651,37.6667,0.2028,0.0131,0.2892,5,120.3992,695.0352,30.737,0.0642,0
190,24.1852,53.6553,3.8872,0.6635,2.4553,4,117.2641,983.6789,23.4789,0.3125,0
191,9.3103,53.6745,2.3756,0.178,-0.6377,4,92.4194,239.1801,30.9932,0.095,0
192,89.7216,42.3959,3.9675,0.9611,-0.531,1,111.7625,142.2494,15.3132,0.3259,0
193,90.0418,42.9344,1.2756,0.1487,-0.6231,7,94.3331,121.3849,18.7333,0.2494,1
194,63.3101,53.4807,22.1208,0.4146,-0.5555,7,116.5922,303.2751,26.7432,0.4095,0
195,33.903,28.2787,9.004,0.0853,-0.6374,10,98.9894,101.0458,17.9459,0.6477,0
196,34.921,28.888,11.3663,0.9969,1.189,0,71.4896,692.1613,19.1276,0.2774,0
197,72.5956,39.2233,15.5671,0.5022,1.4205,7,73.8828,62.2918,22.3611,0.1758,0
198,89.711,46.7983,6.9004,0.5954,-0.5707,4,70.4718,509.4221,28.8572,0.1079,0
199,88.7086,54.6636,0.9093,0.0671,-0.8324,1,129.127,996.6969,15.5202,0.3298,1
200,77.9876,72.1303,7.7026,0.75,0.4714,1,81.4766,813.9703,25.8515,0.4268,0
